SCUS-94103	Jumping Flash!-SCUS-94103.cue
SLUS-00177	Jupiter Strike-SLUS-00177.cue
SLUS-00731	Oddworld - Abe's Exoddus (Disc 2)-SLUS-00731.cue
SLUS-00190	Oddworld - Abe's Oddysee-SLUS-00190.cue
SLUS-00698	O.D.T-SLUS-00698.cue
SLUS-00020	Off-World Interceptor Extreme-SLUS-00020.cue
SLUS-00467	Ogre Battle - Limited Edition-SLUS-00467.cue
SLUS-00148	Olympic Summer Games-SLUS-00148.cue
SCUS-94449	Omega Boost-SCUS-94449.cue
SLUS-00469	One-SLUS-00469.cue
SLUS-01406	One Piece Mansion-SLUS-01406.cue
SLUS-00097	PO'ed-SLUS-00097.cue
SLES-00197	SLES-00197.cue
SLES-01419	SLES-01419.cue
SCES-02279	SCES-02279.cue
SLES-00081	SLES-00081.cue
SLES-03431	SLES-03431.cue | SLES-03431_1.cue
SLES-04047	SLES-04047.cue | SLES-04047_1.cue
