limpe a lista a seguir e deixe somente as linhas que conterem failed: [  102.4037] I/Host: Status: Varredura 'Fighting-Force-SLUS-00433.chd'...
[  108.0296] I/Host: Status: Varredura 'Formula-GP-SLES-03994.chd'...
[  108.0766] I/Host: Status: Varredura 'Formula-Grand-Prix-1997-Team-Unei-Simulation-2-SLPS-01154.chd'...
[  108.1314] I/Host: Status: Varredura 'Formula-Karts-Special-Edition-SLES-00726.chd'...
[  108.2188] I/Host: Status: Varredura 'Formula-Nippon-'99-SLPS-02259.chd'...
[  108.2776] I/Host: Status: Varredura 'Formula-Nippon-SLES-02527.chd'...
[  108.3183] I/Host: Status: Varredura 'Formula-One-'99-SLUS-00870.chd'...
[  108.5672] I/Host: Status: Varredura 'FORMULA-ONE-2000-SLUS-01134.chd'...
[  108.6159] I/Host: Status: Varredura 'Forsaken-SLUS-00458.chd'...
[  108.7168] I/Host: Status: Varredura 'Fox-Hunt-SLUS-00101-Disc1.chd'...
[  108.7644] I/Host: Status: Varredura 'Fox-Hunt-SLUS-00175-Disc2.chd'...
[  108.7929] I/Host: Status: Varredura 'Fox-Hunt-SLUS-00176-Disc3.chd'...
[  108.8359] I/Host: Status: Varredura 'Fox-Junction-SLPS-01355.chd'...
[  108.8710] I/Host: Status: Varredura 'FOX-Sports-Golf-'99-SLUS-00636.chd'...
[  108.9047] I/Host: Status: Varredura 'FOX-Sports-Soccer-'99-SLUS-00635.chd'...
[  108.9551] I/Host: Status: Varredura 'Free-Talk-Studio-SLPS-00985.chd'...
[  108.9931] I/Host: Status: Varredura 'Freestyle-Boardin'-'99-SLUS-00767.chd'...
[  109.0617] I/Host: Status: Varredura 'Frenzy-SLES-00784.chd'...
[  109.1168] I/Host: Status: Varredura 'Frogger-2-Swampy's-Revenge-SLUS-01172.chd'...
[  109.1640] I/Host: Status: Varredura 'From-TV-Animation-One-Piece-Grand-Battle-2-SLPS-03408.chd'...
[  109.2125] I/Host: Status: Varredura 'From-TV-Animation-One-Piece-Grand-Battle-SLPS-03164.chd'...
[  109.2468] I/Host: Status: Varredura 'From-TV-Animation-One-Piece-Oceans-Of-Dreams-SLPS-03550.chd'...
[  109.3096] I/Host: Status: Varredura 'From-TV-Animation-One-Piece-Tobidase-Kaizokudan-SLPS-03251.chd'...
[  109.3784] I/Host: Status: Varredura 'From-TV-Animation-One-Piece-Tobidase-Kaizokudan-SLPS-03252.chd'...
[  109.4593] I/Host: Status: Varredura 'From-Tv-Animation-One-Piece-Tobidase-Kaizokudan21-SLPS-03252.chd'...
[  109.6065] I/Host: Status: Varredura 'Front-Mission-1St-SLPM-87317(1).chd'...
[  109.7366] I/Host: Status: Varredura 'Front-Mission-1St-SLPM-87330(1).chd'...
[  109.7866] I/Host: Status: Varredura 'Front-Mission-2-SLPS-01000.chd'...
[  109.8329] I/Host: Status: Varredura 'Front-Mission-3-SLUS-01011.chd'...
[  109.9069] I/Host: Status: Varredura 'Front-Mission-Alternative-SCPS-45090.chd'...
[  109.9756] I/Host: Status: Varredura 'Front-Mission-Alternative-SLPS-00953.chd'...
[  110.0189] I/Host: Status: Varredura 'Fun-Fun-Pingu-SLPS-02307.chd'...
[  110.0766] I/Host: Status: Varredura 'Furimukeba-Tonari-Ni-SLPM-86808.chd'...
[  110.1231] I/Host: Status: Varredura 'Fushigi-Deka-SLPM-86642.chd'...
[  110.1589] I/Host: Status: Varredura 'Fushigi-Na-Data-Disc-SLPS-01235.chd'...
[  110.1721] I/Host: Status: Varredura 'Fushigi-No-Kuni-No-Angelique-SLPS-00730.chd'...
[  110.2227] I/Host: Status: Varredura 'Fussball-Live-SCES-01702.chd'...
[  110.2801] I/Host: Status: Varredura 'Future-Cop-LAPD-SLUS-00739.chd'...
[  110.3672] I/Host: Status: Varredura 'Future-Racer-SLES-03508.chd'...
[  110.4265] I/Host: Status: Varredura 'Fuuraiki-SLPS-03094.chd'...
[  110.4635] I/Host: Status: Varredura 'Fuuun-Gokuu-Ninjin-SLPS-00441.chd'...
[  110.5198] I/Host: Status: Varredura 'G-Darius-And-Devil-Dice-And-Brunswick-Circuit-Pro-Bowling-SLUS-80690.chd'...
[  110.5447] I/Host: Status: Varredura 'G-Darius-SLUS-00690.chd'...
[  110.6009] I/Host: Status: Varredura 'G-Police-2-Weapons-Of-Justice-SLUS-00798.chd'...
[  110.6299] I/Host: Status: Varredura 'G-Police-SLUS-00544-Disc1.chd'...
[  110.6812] I/Host: Status: Varredura 'G-Police-Weapons-Of-Justice-SCES-01625.chd'...
[  110.8046] I/Host: Status: Varredura 'Gadget-Past-As-Future-SLPS-01082-Disc1.chd'...
